Pad (bar),Temp. (¡ÆC),Feed rate (SLPM),Rinse rate (SLPM),Pde (bar),Recovery (%),Purity (%),f_VC
6.4,60,2,2.1,0.05,97.9122,83.996,1.973140528
6.4,60,8,2.1,0.05,63.6765,99.9743,2.708838939
6.4,60,2,2.1,0.1,95.7475,86.8085,1.95991438
6.4,60,8,2.1,0.1,55.9327,99.9765,2.565887661
6.4,60,2,2.1,0.15,92.7986,89.3914,1.945640912
6.4,60,8,2.1,0.15,48.6398,99.9779,2.430592869
2.5,60,2,0.8,0.05,95.8193,78.1996,0.956771783
2.5,60,8,0.8,0.05,51.0321,89.8845,1.425126716
2.5,60,2,0.8,0.1,89.9562,79.0948,0.909164865
2.5,60,8,0.8,0.1,42.5878,88.4898,1.259962243
2.5,60,2,0.8,0.15,82.5982,79.5188,0.857813376
2.5,60,8,0.8,0.15,34.975,86.8315,1.10894534
